Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
West,Goa,0,Jul,Q3,392,392,0
South,Andhra Pradesh,0,Jul,Q3,6345,6345,0
South,Telangana,0,Jul,Q3,6390,6390,0
South,Karnataka,0,Jul,Q3,6170,6170,0
South,Kerala,0,Jul,Q3,2306,2306,0
South,Tamil Nadu,0,Jul,Q3,10699,10699,0
South,Puducherry,1,Jul,Q3,303,303,0
South,Lakshadweep,1,Jul,Q3,5,5,0
East,Bihar,0,Jul,Q3,4414,4354,60
East,Jharkhand,0,Jul,Q3,1282,1270,12
East,Odisha,0,Jul,Q3,3848,3848,0
East,West Bengal,0,Jul,Q3,6820,6815,5
Northeast,Sikkim,0,Jul,Q3,38,38,0
South,Andaman Nicobar,1,Jul,Q3,30,29,1
Northeast,Arunachal Pradesh,0,Jul,Q3,83,83,0
Northeast,Assam,0,Jul,Q3,1320,1320,0
Northeast,Manipur,0,Jul,Q3,82,82,0
Northeast,Meghalaya,0,Jul,Q3,188,165,23
Northeast,Mizoram,0,Jul,Q3,56,56,0
Northeast,Nagaland,0,Jul,Q3,88,88,0
Northeast,Tripura,0,Jul,Q3,152,152,0
North,Chandigarh,1,Aug,Q3,213,213,0
North,Delhi,1,Aug,Q3,4104,4103,1
North,Haryana,0,Aug,Q3,7658,7569,89
North,Himachal Pradesh,0,Aug,Q3,1149,1146,3
North,UTs of J&K and Ladakh,1,Aug,Q3,1606,1585,21
North,Punjab,0,Aug,Q3,9560,9560,0
North,Rajasthan,0,Aug,Q3,10349,10154,195
North,Uttar Pradesh,0,Aug,Q3,15781,15669,112
North,Uttarakhand,0,Aug,Q3,1404,1385,19
Central,Chhattisgarh,0,Aug,Q3,3535,3515,20
West,Gujarat,0,Aug,Q3,12556,12554,2
Central,Madhya Pradesh,0,Aug,Q3,8269,8269,0
West,Maharashtra,0,Aug,Q3,16972,16865,107
West,Dadra & Nagar Haveli and Daman & Diu,1,Aug,Q3,792,792,0
West,Goa,0,Aug,Q3,418,418,0
South,Andhra Pradesh,0,Aug,Q3,7200,7161,39
South,Telangana,0,Aug,Q3,7689,7688,1
South,Karnataka,0,Aug,Q3,7909,7839,70
South,Kerala,0,Aug,Q3,2591,2590,1
South,Tamil Nadu,0,Aug,Q3,11104,11103,1
South,Puducherry,1,Aug,Q3,310,310,0
South,Lakshadweep,1,Aug,Q3,5,5,0
East,Bihar,0,Aug,Q3,4298,4237,61
East,Jharkhand,0,Aug,Q3,1305,1252,53
East,Odisha,0,Aug,Q3,3705,3703,2
East,West Bengal,0,Aug,Q3,6612,6604,8
Northeast,Sikkim,0,Aug,Q3,35,35,0
